Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2019,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,20.074
2005,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.126
2006,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.154
2007,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.153
2008,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.147
2009,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.118
2010,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.118
2011,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.122
2012,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.137
2013,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.15
2014,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.146
2015,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.143
2016,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.155
2017,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.168
2018,Business R&D expenditure,AUS,Australia,Information and communication (ISIC 58-63),Share of GDP,0.181
